SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,5959,5959,8750,2791,68.1,36,168,106,8
Antioquia Eje Cafetero,2602,2602,4900,2298,53.1,25,95,16,8
Caribe,1841,1841,2400,559,76.7,23,47,13,3
Santanderes & Boyaca,1365,1365,1470,105,92.9,16,28,11,2
Pacifico,3622,3622,4550,928,79.6,27,88,49,3
Sur y Llanos,3038,3038,5150,2112,59.0,20,103,42,4
Total 6 zonas,18427,18427,27220,8793,67.7,,529,237,28

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
Bogota & Cundinamarca,C-2592,Frances Nivel 2,G-4926,Sabado 10:00 - 11:30 a.m,50,37,0
Bogota & Cundinamarca,C-2565,Modisteria (Faldas),G-5005,Miercoles 15:00 - 16:30 p.m,60,60,4
Bogota & Cundinamarca,C-2565,Modisteria (Faldas),G-5006,Sabado 9:00 - 10:30 a.m,60,60,1
Bogota & Cundinamarca,C-2564,Munecas de Trapo,G-4988,Martes 9:00 - 10:30 a.m,60,60,0
Bogota & Cundinamarca,C-2564,Munecas de Trapo,G-4989,Viernes 8:00 - 9:30 a.m,60,60,2
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4990,Martes 10:00 - 11:30 a.m,50,23,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4991,Martes 20:00 - 21:30 p.m,50,36,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4992,Martes 20:00 - 21:30 p.m,50,15,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4993,Jueves 14:00 - 15:30 p.m,50,14,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4994,Sabado 8:00 - 9:30 a.m,50,27,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4995,Sabado 9:00 - 10:30 a.m,50,24,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-5010,Sabado 9:00 - 10:30 a.m,50,10,0
Bogota & Cundinamarca,C-2488,Bisuteria 1,G-4773,Miercoles 10:00 - 11:30 a.m,60,60,0
Bogota & Cundinamarca,C-2488,Bisuteria 1,G-4774,Jueves 9:00 - 10:30 a.m,60,37,0
Bogota & Cundinamarca,C-2488,Bisuteria 1,G-4775,Viernes 18:00 - 19:30 p.m,60,60,0
Bogota & Cundinamarca,C-2488,Bisuteria 1,G-4776,Miercoles 15:00 - 16:30 p.m,60,60,0
Bogota & Cundinamarca,C-2488,Bisuteria 1,G-4777,Miercoles 15:00 - 16:30 p.m,60,21,0
Bogota & Cundinamarca,C-2610,Estrategias para la Busqueda de Empleo,G-4859,Martes 16:00 - 17:30 p.m,50,11,0
Bogota & Cundinamarca,C-2610,Estrategias para la Busqueda de Empleo,G-4860,Miercoles 16:00 - 17:30 p.m,50,8,0
Bogota & Cundinamarca,C-2610,Estrategias para la Busqueda de Empleo,G-4861,Jueves 15:00 - 16:30 p.m,50,5,0
Bogota & Cundinamarca,C-2610,Estrategias para la Busqueda de Empleo,G-4862,Viernes 18:00 - 19:30 p.m,50,5,0
