SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,6530,6530,8400,1870,77.7,35,161,111,7
Antioquia & Eje Cafetero,2614,2614,4550,1936,57.5,21,91,16,4
Zona Caribe,2015,2015,2400,385,84.0,23,47,13,3
"Santanderes, Boyaca y Cesar",1378,1378,1470,92,93.7,16,28,11,2
Zona Pacifico,3666,3666,4550,884,80.6,27,88,49,3
Zona Sur & Llanos,3369,3369,5150,1781,65.4,20,103,42,3
Total 6 zonas,19572,19572,26520,6948,73.8,,518,242,22

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
Bogota & Cundinamarca,C-2502,Reposteria 2,G-4960,Viernes 14:00 - 15:30 p.m,50,50,0
Bogota & Cundinamarca,C-2502,Reposteria 2,G-4961,Sabado 10:00 - 11:30 a.m,50,50,0
Bogota & Cundinamarca,C-2540,Pintura en madera 1,G-4996,Martes 9:00 - 10:30 a.m,60,51,0
Bogota & Cundinamarca,C-2540,Pintura en madera 1,G-4997,Miercoles 8:00 - 9:30 a.m,60,36,0
Bogota & Cundinamarca,C-2540,Pintura en madera 1,G-4998,Sabado 8:00 - 9:30 a.m,60,60,0
Bogota & Cundinamarca,C-2739,Modisteria Reparacion y Modificacion de Prendas de Vestir,G-5003,Miercoles 10:00 - 11:30 a.m,60,60,0
Bogota & Cundinamarca,C-2739,Modisteria Reparacion y Modificacion de Prendas de Vestir,G-5004,Jueves 10:00 - 11:30 a.m,60,60,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4912,Lunes 19:00 - 20:30 p.m,50,21,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4913,Sabado 9:00 - 10:30 a.m,50,18,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4914,Sabado 9:00 - 10:30 a.m,50,2,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4928,Miercoles 19:00 - 20:30 p.m,50,8,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,G-4939,Jueves 16:00 - 17:30 p.m,50,6,0
Bogota & Cundinamarca,C-2568,Italiano Nivel 1,G-5079,Sabado 8:00 - 9:30 a.m,60,60,16
Bogota & Cundinamarca,C-2567,Italiano Nivel 2,G-4982,Miercoles 17:00 - 18:30 p.m,60,60,0
Bogota & Cundinamarca,C-2567,Italiano Nivel 2,G-5078,Sabado 11:00 - 12:30 a.m,60,60,0
